  -1.0999984e+01   6.0749153e-06  -8.9792381e-06   7.0710678e-01   0.0000000e+00   0.0000000e+00   7.0710678e-01
  -1.0999784e+01  -4.9391961e-04   9.1036886e-05   7.0698816e-01   1.5319038e-03   8.2523262e-04   7.0722324e-01
  -1.0999584e+01  -9.9391413e-04   1.9105301e-04   7.0686803e-01   3.0635107e-03   1.6509996e-03   7.0733689e-01
  -1.0999384e+01  -1.4939087e-03   2.9106914e-04   7.0674636e-01   4.5948072e-03   2.4773083e-03   7.0744776e-01
  -1.0999184e+01  -1.9939032e-03   3.9108526e-04   7.0662314e-01   6.1257731e-03   3.3041597e-03   7.0755586e-01
  -1.0998984e+01  -2.4938977e-03   4.9110138e-04   7.0649841e-01   7.6564278e-03   4.1315303e-03   7.0766116e-01
  -1.0998784e+01  -2.9938922e-03   5.9111751e-04   7.0637214e-01   9.1867496e-03   4.9594306e-03   7.0776367e-01
  -1.0998584e+01  -3.4938868e-03   6.9113363e-04   7.0624433e-01   1.0716749e-02   5.7878555e-03   7.0786341e-01
  -1.0998384e+01  -3.9938813e-03   7.9114976e-04   7.0611501e-01   1.2246414e-02   6.6167903e-03   7.0796033e-01
  -1.0998184e+01  -4.4938758e-03   8.9116588e-04   7.0598414e-01   1.3775733e-02   7.4462407e-03   7.0805450e-01
  -1.0997984e+01  -4.9938703e-03   9.9118201e-04   7.0585174e-01   1.5304719e-02   8.2762050e-03   7.0814588e-01
  -1.0997784e+01  -5.4938649e-03   1.0911981e-03   7.0571780e-01   1.6833359e-02   9.1066659e-03   7.0823449e-01
  -1.0997584e+01  -5.9938594e-03   1.1912143e-03   7.0558231e-01   1.8361650e-02   9.9376251e-03   7.0832034e-01
  -1.0997384e+01  -6.4938539e-03   1.2912304e-03   7.0544531e-01   1.9889583e-02   1.0769085e-02   7.0840337e-01
  -1.0997184e+01  -6.9938484e-03   1.3912465e-03   7.0530676e-01   2.1417163e-02   1.1601039e-02   7.0848366e-01
  -1.0996984e+01  -7.4938430e-03   1.4912626e-03   7.0516668e-01   2.2944380e-02   1.2433472e-02   7.0856116e-01
  -1.0996784e+01  -7.9938375e-03   1.5912788e-03   7.0502507e-01   2.4471240e-02   1.3266391e-02   7.0863588e-01
  -1.0996584e+01  -8.4938320e-03   1.6912949e-03   7.0488190e-01   2.5997720e-02   1.4099795e-02   7.0870785e-01
  -1.0996384e+01  -8.9938265e-03   1.7913110e-03   7.0473720e-01   2.7523824e-02   1.4933661e-02   7.0877705e-01
  -1.0996184e+01  -9.4938210e-03   1.8913271e-03   7.0459097e-01   2.9049562e-02   1.5768007e-02   7.0884347e-01
  -1.0995984e+01  -9.9938156e-03   1.9913433e-03   7.0444316e-01   3.0574907e-02   1.6602816e-02   7.0890715e-01
